title,text,rating,review_length
"Fun Case, think phone case","We got this with the idea that we would turn one of our retropi's into a handheld arcade.  It didn't work quite as well as we hoped as we realized that we could not convert the controls over to touchscreen, but we did get the pi up and running with a screen and we could plug our control box into it, but it left us with a too small screen in a hand hold case, but without free hands to hold it.  So for right now it does not have a use, but it was a fun experiment and I am hoping that someday the older kids will pick it up and use it to enclose a new experiment .  It is a nice little enclosure, it installed easily and it has a lot of potential for making a small all in one device (minus battery.)  There is some talk of creating board game controls with it by making a simple html site with some randomized php for dice.  I expect that it will be put into some use this summer.",4,883
Created an epic workspace,"It took a Coronavirus to get me to finally buckle down and set this up, but it is making my home office look and perform great.  It was a little difficult to set up because of the desk/table I am using and lack of space to work around it, but the stand itself was not bad to deal with.  In fact, if I had access to the back of the desk, it would have been a breeze.  I don't know if I like how it would look from the back with the long arms sticking out, but you can't see it on my set up, just three clean looking monitors kind of levitating above the surface.  It looks fantastic, it is sturdy.  All in all, a great triple monitor stand. (plus, not more words about ""Why do you have so many monitors in the closet?""  Love it.",5,727
A Swiss Army Knife for Work,"I do IT support for a private university and we have started making the change over to USB-C devices, especially Macbooks and Tablets and this little hub has been Godsent.  I love that it has ethernet, which is one of our most lost and sought over adapters we have.  I also understand that you can power through this device which I have not had a need for recently, but our HP tablets only have one USB-C so it is impossible to use the ethernet adapter and power it at the same time. I am hoping it will work for that too.<br /><br />It looks sleek and elegant.  It is a little bigger than I was expecting, but still small enough to be convenient.  I can vouch for it working with USB, HDMI and ethernet without issue.  I have put a large tag on it it so no one gets envious or careless and walks off with it, and so far, it has been great.  Glad to have it in the old toolbox.",5,877
A Nice Transister Radio,"We got this so we wouldn't have to run our car battery down at the drive in theater.  Since we got it though, Coronavirus has threatened to end the drive in season before it even got to start, but it is ready when it reopens.  I am very happy with the radio in general, it projects well and fills our car with sound although it is a little tinny, so it may not be our permanent solution.  The controls are simple and well laid out.  Just an on/off/volume dial, a am/fm selector, a tuning dial, and a low/high tone selector.  It is superlight without batteries and for now, it is going into our emergency supplies as our back up radio in case power goes out.  I do fear that D sized batteries may be hard to find in the apocalypse though.",4,737
A Very Decent Cable,"I had been looking for a USB-C charger for law libraries charging station.  We had built it a couple years ago and are now noticing that there are more and more people asking for USB-C charging cables.  (Also disconnecting a USB cable on our SmartTV even though you cannot charge from it.  I installed this cable into our charging station just before we sent all the students home to selfisolate for the pandemic so I can't tell you how well it works, but it looks great and feels like a quality cable.  I did use it on a tablet to make sure that it would charge and it looks good.  All in all, it seems like a nice cable.",5,622
Decent Wireless Mouse,"This is a pretty good wireless mouse.  It worked well plug and play and was working within seconds of plugging in the receiver.  It is a little boxy and perhaps not the best feeling mouse, but the price is okay and it just plain functions which is what we would want.  We gave it to our youngest so she could use it on her school winbook for doing her remote work during the coronavirus lockdown and she is very happy with it.  I support a lot of workstations at work and have seen a huge amount of wireless mice and this one seems like an average budget one that functions well.  Im not sure why DPI is so important a setting to put on the mouse as a physical button, but it is pretty much the only whistle and bell it has.  All in all, a decent basic wireless mouse.",4,768
Rugged and sturdy but still pretty flexible,"I really like this monitor stand.  We ended up putting it onto one of our son's gaming work station to up the coolness level and let him maneuver his monitor around and it does both great.  I spent some time fretting over how to install it before it came and found that all my concerns were met by the product.  I was concerned that I was not going to be able to install it from the back of the desk which is built into the wall, but with the grommet mount, we were able to bore a grommet hole and have it look great.  I was also wondering how to attach the monitor to the mount, but the mounting plate can be removed, installed, then slipped back on the arm easily.  This is very well engineered. It is pretty much invisible with the monitor installed and put a little forward.<br /><br />As for manufacturing, this thing is solid.  It is surprisingly heavy when you get it the box and that translates to solid parts.  It is rock solid.  Add that to the well engineered design and you have a great product.  I can't judge by price because at this point it is unavailable and no price is listed.  But I would rank it with the upper half of monitor arms.<br /><br />The only limitation I see, and it is small, is that you cannot adjust the height up and down easily, you will need to move it up and down the post, so you kind of need to decide on the height and keep it there.  My desk has a arm that allows you to move it up and down as well, this one doesn't, but if that limitation is fine you have plenty of side to side, in and out and tilt controls.<br /><br />All in all, very happy with this monitor mount.",5,1613
"Works as it should, but a little expensive for our use","We were hoping to get a $29 old dvd player to work on our new TV which did not have composite inputs.  This adapter does the job.  We got a free sample adapter for the Amazon Vine and  I was surprised to see that it is currently listed at $27.  This is barely less than the bare bones dvd player we were trying to keep using.  It works well and sound and picture are good.  It does what we need, and we are happy that we can keep getting use out of a vintage player.  I hate to throw something away until we have to, but stings a little to pay the same price for an adapter as the thing I am adapting.  Otherwise, recommend this.",4,629
"Solid, Pretty Big, Highly Visible","I like these security signs.  Love that they are aluminum and rust/weather proof.  They are very simple to install with screw holes pre-drilled, although we mounted one in a window with a little bit of tape.  The no trespassing note seemed a little aggressive for our front door, but perfect for our back sliding door. They are very visible and give a straightforward message.  Well made sign.",5,393
Nice Little Adapter,This is a solid little adapter.  It looks sleek and elegant and does what it is supposed to. I am very happy with it and it serves the need we are having with all the new macbooks and PC tablets not having HDMI anymore.  Love this adapter.,5,239
"Nice Set, A Little Heavy","For the most part this device is perfect.  I love the clean white, ""Apple product"" design.  It looks great and it has worked great as a short extension cord/charging center when testing at home.  It has a nice, stacking set of adapters that stores well in the thick storage/organization bag.  The bag is pretty nice but a little bulky like the charger itself.  I would have liked to see it a little slimmer and lighter for better packability for when every ounce and cubic inch is at a premium, but it seems pretty well built (the plug adapters are a little cheaper looking) and well designed, just a little big.",4,612
I Can Hang onto Wii and Old DVD Player for a few more years,"Got a new TV without thinking about inputs and found that we still needed a composite option.  This fills the need to the TV and also will work with our projector so we can connect our Wii and DVD player to both.  The picture is good, Like the switch option although so far we have only used the DVD player.  The price is not bad, but was hoping under $25, still worth it for saving some consumer electronics from the recycle bin for a few more years.  All in all, it does what it is supposed to do and that is great!",5,517
"Works as Described, Easy to Install","We were able to install this onto an existing wood post that got it out of the way but still effectively covers the blind entrance to the drive way.  We were hoping for something that would alert us remotely, but I have to say we appreciate a 30 second heads for for when people arrive a the house.  It has been completely plug and play and has kind of just fit into our lives.  We not get the chime and know to expect someone arriving, or to be able to see the neighbor's black lab from the window.  Love that there are multiple sound options.",5,544
"You Get What You Pay For, But Decent Recorder","I have used a couple of recorders over the years and this is the most inexpensive I have used.  It turns out that it is a decent and serviceable recorder, but the Mics are just good and the menu interface and buttons are just workable. I have used worse in the 80's for sure but I have used better.  But, for the price and size it is decent.  It picked up lecture with clarity at a distance but picked up and amazing array of sound when moved.  The playback speaker is not great, but the files played well on my laptop after moving them.  For sub $30 this is not a horrible voice recorder.",4,589
A Beautiful Cable,"This is almost too good looking to waste behind a monitor.  The woven cable cover and jacks look great, and cover a cable that is working perfectly for me.  I used it to replace a standard display port cable with hdmi adapter and it is working without a hitch.  It seems to be a great cable.",5,291
Super Compact and Functional,"I work as IT support for a private college and I got a reviewer package of these to outfit my department's laptops.  they are perfectly functional and most importantly, they are small and look great.  I laughed at these when people first started getting them, but after having to Zoom and Skype into a couple of meetings and having the camera on before I was ready, I figured this was a good foolproof privacy option and they are.  Now I can open the camera only when I know I want it to be in use.  No highjacking my camera for extortion picks (although they would be pretty disappointed.) And built up lots of extra points with my faculty and staff by offering them for their use.<br /><br />All in all, good looking and functional at a decent price.  Adhesion looks good.  I would recommend.",5,794
Solid and Beautiful,"I had been using a heavy keyboard case on my ipad and I am very happy to get rid of the extra weight when I got this case.  I really like its design that leaves the camera (and Apple logo on the back) free and clear.  The iPad is held tightly and securely.  I do wish the cover was secured magnetically, but it stays closed pretty well.  I love the textured feel and the blue hue.  all in all I really like this case.",5,417
Nice and Sleek and it works,"This is working great for my work MacBook to connect to our VGA projectors.  I love its sleek and elegant shape and size.  It looks great and works well. That's about all you can ask over than a reasonable price and the current $17 is not an outstanding price, but it is decent.  All in all a great product.",5,307
"Great Showy Imagery, Great Cover","I really love this new cover, mostly for it's looks.  I love the giant wave motif and it makes it easy to find my ipad, much better than the plain black one that it is replacing.  That one had a keyboard and never quite lived up to my hopes.  This one is a just a straight up cover but it does the job.  It covers the iPad well and gives access to the camera and does everything else I would ask of it.",5,402
Good Functionality,"I stream a lot of spotify through my phone and love this flexible solution for listening while I am charging. I had been using Bluetooth but this feels like a more secure and consistent connection to my stereo.  It is well built, small and aesthetic.  It does what it promised and works well, glad I got it!",4,307
Like a piece of art,"I love the looks of this cable.  It is thick and bold with great looking braided covering.  It is absolutely beautiful.  It is also nice that it is working great right out of the box, but for me, the aesthetics of this cable is what sells me.  I am using it to run my HP laptop to the back of my TV and I love that the 10 feet length gives me room to roam, but the look of the cable makes it seem fine for the cable to run across the floor.  It's doing everything I ask of it and looking good doing it.",5,502
This Adapter Delivers,"In a world where you can seem to get enough USB ports and fewer are being provided, especially on new macbooks, this adapter is a lifesaver.  I work in IT and we often need a USB to USB-c adapters.  I have tried a number of them and this does the job right out of the box in one of the smallest, most elegant designs I have seen.  Also love the ethernet option which is another issue we run into quite often.  All in all, love this little adapter, I'm chaining to my desk so it doesn't walk off.",5,495
Works great for protecting out coop,"We put this just outside our coop so we could see what is moving around during the night.  It seems to pick up movement well although sometimes it is just plants moving.  I love that it is self charging and we have been able to just hang it and forget it.  The light is not overly bright, but bright enough to alert us of movement and see if something is trying to get into the coop.  We put it in about half full sun and we have not had any problems with it staying charged.  All in all, a great solution for our coop protection.",5,530
"these are tiny, but do the job","The university I work at is going through the transition to USB C right now and these have been helpful in bridging the USB technologies.  Sometimes they have been involved in daisychained solutions, but they have worked across multiple platforms and systems.  They come with little keychain attachments which might be nice if you have a specific phone or accessory use, but kind of get in the way for my needs.  Price is decent and functional.",4,444
A great Hub,"I really like this hub. It has a great look, especially the charging pad.  I love that it will charge through the hub and has a great assortment of ports.  I have plugged it into my office space and really appreciate the convenience of the charging pad for my iPhone.  It has displaced my older hub and has been rock solid for me.  It's a little pricey, but works great.",5,370
Perfect for travel,"I had a splitter for flights and was a little disappointed how bulky it was.  I like this one better as it is very light and pretty small.  That and having it work are the two demands I have for a splitter.  I love that this one fits easily into my travel backpack so it will always be ready for flights or car trips.  With more airlines moving to running movies over personal electronic devices I always want to have one of these to share movies with my partner or kids.<br /><br />This specific device does not seem to be the highest quality, but it is fully functional for us.  The plastic parts meet in irregular lines and it just doesn't have a feel of high engineering quality, but it does the job and the size is right.  Right now it is perfect for my needs.",5,765
Nice Ear Buds with a wonderful charging case,"We actually have a couple of these, although this one came with an even sleeker and smaller charging case.  We were able to get these paired up quickly and the sound is very good.  After showing my son the pull your ear while inserting trick, the seated well and stopped falling out, even during dancing.  All in all, this is everything that I am looking for in reasonably priced ear buds and my son is ecstatic with them, especially since the look marginally like Airpods.  Recommend!",5,485
A Decent Dock for my Macbook,"This has pretty much everything you would want (ethernet would be the only thing missing.)  I ran it through the paces testing out each port and they all work well.  I had a little work to do to get it to recognize the HDMI port, but it all worked out fine.  The dock looks nice enough. The quality seems fine but it does not have an overwhelming feeling of richness.  I did notice that it warmed up quite a bit when running power through it.  In fact it got pretty hot so that might need to be watched.  Otherwise, it seems like a good dock.",4,542
Beautiful cable in a beautiful box,"If anyone ever puts a 50 foot HDMI cable on their wedding registry, this is the one to get.  It comes in an elegant gift box like packaging.  Probably the best packaging of any AV cable I have ever seen. Of course for most of us, functionality is better that packaging and this appears to work as good as it is packaged.  It is a thinner cable, but the quality seems great and it took me a while to confirm, but 50 foot seems to be within spec for Hdmi 2.  We will be using it to run a movie feed from the downstairs PS4 to a projector to show movies in the back yard.  It is perfect for our needs a vey nice looking cable.",4,623
A Nice Basic Multiple Card Reader,"This is a perfectly good card reader.  It is not overly elegant in design and does not feel like the richest quality device in the world, but it works well enough.  I used it on both compact flash and SD and both cards read and I was able to move photos from the cards to my laptop.  I have sleeker dedicated readers, but this one is going to stay at my workstation and hopefully be there when the others disappear, as they are likely to do when I most need them.  This does the job, so recommend it.",4,500
Well it's a $40 turntable,"I had high hopes for this little turntable.  It looked perfect for my oldest son who is a huge 80's music fan and thought he should hear it in its original format.  We were excited to unbox it and play the two albums we picked up at the used book store.  First impressions were OK.  The case looks nice and love the two speakers built in.  Opening it, we were underwhelmed by the plastic turntable, stylus arm and rather cheap looking controls.  But we were still excited.<br /><br />The sound was also a little disappointing.  The two speakers are underpowered and all high end so it was pretty tinny.  But the absolute worst was that they stylus is so head light that it skipped constantly.  We put a small glass bead on it and the weight actually slowed the turntable.  We backed off and placed a quarter on it and it played about right.  But again, I was underwhelmed by the underpowered turntable.  Also, we noted that one of the spongy pads on the turn table was not installed properly and put a list to the album.  We fixed that and fixed the quarter to the stylus and we were able to get it to play through Adam Ant's Friend or Foe album.  The scratchy quality of between songs brought me back 40 years to my own first phonograph, which I think was pretty crappy, but probably better than this one.<br /><br />It works, its nostalgic.  We have had fun and will probably get an album at every used bookstore, garage sale, or antique store we find them in, but we will need to upgrade if he goes beyond just enjoying the novelty of it.",3,1541
"Absolutely Beautiful Fan, but...","I love the elegant design of this fan.  The only thing that holds this back from being a perfect fan is the unfortunate use of plastic for the wood grain parts.  That takes away the richness of the fan. It would have been so much better, so much classier had they used real wood.  In fact, I think I'll be fashioning wood replacement parts to make it what it could have been.<br /><br />The fan is very quiet. On low, it is nearly silent, on high it is not very loud at all.  Easily the quietest fan I have ever owned. The touch controls on the fan are good and work with a simple brush. The blades are soft when you brush them accidentally.<br /><br />I so wish they had gone with real wood, this is a beautiful and functional fan.",4,732
Elegantly Desgined Adapter,"Right off, this is a great looking adapter.  I love the woven cord and classic gray color.  It is as sleek as you can get for HDMI and is just outright beautiful.  I tried it with my PC and it worked great.  I look forward to traveling with this. The price is decent, all in all, a fantastic adapter.",5,300
Does the Job I needed it for,"This is not the highest quality studio light set, but it did come in handy for product photography.  I was also hoping to do some pet photography with it, but it is not bright enough to stop movement at low ISO settings.  It does work very well in a light tent for items I'm selling online.<br /><br />The tripod is a little light duty but functional, the bracket and goose neck are also light duty but functional.  It is far from pro level across the board, but at least for me, the circle light is enough to make the set worthwhile. To be honest, I don't know that I will use much other than the light.",4,604
A decent Inverter/Charger,"We put this in my partners car and it has worked well for everything we have put against it.  She has used her laptop from the passenger seat, her kids have played hours of iOS games and recharge a large number of devices and it has done it all without any hitches.  I didn't even notice it getting overly warm while she was working on her laptop.  All in all it seems to be a good inverter.<br /><br />I appreciate that it has a longer cord than mine which gets the plugs closer to the kids in the back.  I can't say that it is the most ruggedly or elegantly built device, but it works well for our needs.",4,606
Exactly what I was looking for,I was looking for an inexpensive and flexible screen for many uses from throwing on a wall in the kids room to projecting pool side.  This is nearly perfect from price point to storability.  I had a large pull down screen with some black marks on the screen that was a pain to hang and store.  This screen stores down to the size of a encyclopedia and can be pulled out whenever.  The Grommits allow for easy hanging nearly anywhere and I will probably make a quick PVC pipe frame for out door uses.<br /><br />The screen itself is an ultrawhite polyester that projected perfectly in our test movie.  We have a very large cork board in the boys room and this hung perfectly for quick deploying.  I love that the cloth truly does not show wrinkles and can simply be folded and put into the electronics bin. Absolutely perfect for our needs.,5,839
A Decent Dash Cam,"Last year we spent some time up north and had very good luck seeing wolves crossing the road in front of us.  This year we are returning to the same cabin and hoping to get some proof of our encounters.  Also, looking forward to documenting other interesting sightings and crashes so we were excited to try this camera out.<br /><br />The camera itself has a rugged feel to it.  It is solid and has some heft for its small size that speaks of quality.  It was easy enough to install and turn on, but then it got a little more interesting.  The directions are a little cryptic, and it might be more fun to think you are in an escape room and need to get the camera working to get out.  The manual is grammatically challenge and reads more like repetitive clues to point to solutions.  It is almost comical.<br /><br />The image and sound of the camera are pretty good.  We have had fun playing around with it and we are ready to have it roll next month in Northern Minnesota and on trips to mexico and costa rica.<br /><br />All in all a decent dash cam with some interface and documentation issues, but it set up quickly and seems to record well.  Do note that it did not come with an SD card so you will need to get one.",4,1221
It's an OK piece of optics,"I don't know exactly where this would fit into a birders toolkit.  For me, I am planning on taking it to the tropics with the kids as a cheap and easy to carry spotting scope.  I'm hoping that I can remove the camera and set this up on the tripod with a quick release plate and put it on non moving birds and sloths etcetera so they don't get too frustrated with their bins.  And I don't break my back with both camera and full spotting scope.<br /><br />I will say this, in the 90's I paid $49 for a Russian surplus spotting scope that did have 20x zoom, but in every other way it was far, far inferior to this monocular.  This has the passable optics for a beginning birder still not looking to invest well.  It is fairly sharp in the center of the image but less so at the edges.  It has a very small depth of field, but a surprising close focus of 6-8 feet. I would not recommend this as a replacement for a full set of bins, but you are getting half a budget pair binoculars.<br /><br />The focus is easy enough to adjust one handed and it seems fairly well constructed in the hand.  I would not want to drop it and fully test it, but it seems sturdy enough. Lense covers are also fine.  The eye cup raises and lowers for eyeglass wearers but the mechanism seems less quality than other aspects of the monocular.  I question the focal length placement for the cup at full or minimum extension.  It seems like the missed the proper marks.<br /><br />I think it will work for what I was hoping for, a rainforest spotting aid and a reserve optics for the car, but not sure I would recommend for much else.",4,1607
Very Basic But Functional Case,"After reading reviews, I lost some optimism for this case, but when I got it, it proves to be a basic but serviceable case for my iPad.  It is replacing a bulky keyboard case so I really like the slimness and feel of the case.  It fit my iPad easily and it if it lasts a year, at this price, that would be an okay value.",4,320
Classic Looks and it works,I really like the way this looks.  I appreciate that the VGA end is small and the braided gray cable looks great.  It does what I need it to do in a stylish and well designed way.  Look forward to traveling with it for some years.,5,230
Great Looking Monitor Arm,"I have been looking for a good monitor arm for a while and this one is nearly perfect.  It adjusts and holds at literally any location I want to keep my monitor.  It hides well behind my 24 inch monitor which has a little weight to it but the arm holds it up well.  Installation was very easy except for the only criticism I have for this arm.  The clamping mechanism is actually pretty wide, almost four inches while my desk only allowed about two inches.  It is holding well, but it extends well past the edge of the desk and is only holding on with about two inches of the clamp, but again it is holding well.<br /><br />Otherwise, this is a very nice monitor arm at a decent price.",5,685
"A Decent Mouse,  I little wide for me.","I have come to trust the AmazonBasic brands for being less than flashy, but decent products.  This wireless mouse is perhaps on the low end of esteem for products in the line.  It is solid and it works but seems less responsive and less wieldy than it should be.  personally I like my thinner logitec wireless mice better than this and for me, this seems less ergonomic.  It is wide for my hand, and I have XL glove sized hands.  Perhaps its familiarity, but I just don't care for the fit.<br /><br />We do have it in use on our kids workstation now and there are no complaints.  I can't say that I do not like this mouse, I just have much better ones in the house.",4,665
"Good Camera, but Probably Not Worthy of its Pricepoint and Place in the Canon lineup.","I've been trying out how to review this camera for a while, trying hard to really love this camcorder but I'm having some problems.  Undoubtably, this is a very good camcorder, but I feel that it is lacking.  To start with, why would you sell a $900 camcorder that cannot do 4K it just seems like it is being sold pre-obsolete.  I understand that the SD technology that it uses to store footage might be a bottle neck, but why release such a high level camera at this price point and not have it current?  Also, this camcorder abandoned wifi which its predecessor had at the same price point.<br /><br />As far as actual functionality, I took this to Costa Rica on a family trip as well as some birdwatching and I got some truly wonderful footage and some truly unusable footage.  Perhaps I should say what kind of user I am.  I am an advanced amateur photographer using Canon DSLR's and L glass lenses.  So I am not new to Canon or photography, but I am new to videography, and there is a learning curve.  Where I can put my subject in the lense quite easily with a hand held, or even tripod mounted camera, I wasted tons of time and opportunities trying to find the subject.  The video screen was nearly impossible to use due to glare and I constantly found myself zooming out to get a rough idea where I was pointing and then zooming in on my subject.<br /><br />The Autofocus was also a mixed bag.  I loved the touch screen focusing but I found that the focus would keep losing the subject and searching for focus.  It was impossible to override if there was brush in the way and manual focus was painful.  When it worked, I got a lot of sharp footage, when it didn't I could not even tell with the small screen, especially in low light, I found that I had missed a lot of focuses on long shots of birds in the canopy.<br /><br />As for build, it took a moderate amount of abuse in the jungles and kept working  sound was good and when I got the subject in the lense and in focus, I was very happy with the results.  I can't blame all these problems on the camera, I have to take my responsibility in a lot of the bad shots.  But sometimes it seemed like the film quality had kind of a news gathering camera quality rather than cinematic (yes, I set it to cinematic.)  It seems like the controls are minimal almost to point and shoot which is good, but sometimes to override.<br /><br />So after all this, why four stars?  I actually really like this camera. I do have some incredible footage and memories.  I'm glad it is in my toolkit, I just think it could be and should be better at this price point.",4,2608
Great Little Basic Duo Monitor Stand,"I was looking for a way to declutter my desk and make it all look tidier.  This does the trick by mounting my two 24 inch monitors securely at the back of my work table.  It is fairly sturdy but without too many whistles and bells.  I work in IT and I have seen many better looking stands or monitor arms, but this does everything I need at a decent price.  The one thing I wish it had was channeling to hide the cables a little better, but again, you are getting a decent monitor stand for the price and at this price you can't expect too many niceties like that.  I am perfectly happy with what I paid for and how it makes my workspace look.",5,643
"OK, perhaps a little pricey","These are okay Bluetooth headphones.  The sound is passable, although they are in no way cancelling and ambient noise washes out the sound.  road noise on car trips can overwhelm it rather easily at comfortable listening levels.  The ear pieces are difficult to fix over your ears, although I have to admit that once in place, they hold very well.<br /><br />Again, these are not bad headphones, they just aren't great headphones.  I feel that they are what I would expect at 60% the price these are currently listed for.  39.99 with expectations that you are not paying for high end ear buds.",3,593
Great Headphones for the price.,"I really like these headphones, especially for this price.  I have $400 Sennheisers and after listening to these for a while I had to swap out to see what the sound difference was.  And I definitely cannot say that these are just as good, but I cannot say that the difference would justify an additional $300+.  Especially when I was looking for a pair for my kids to use on road trips.<br /><br />The kids did appreciate them.  They are not completely isolating but they isolated enough to let them listen to their music over road noise while driving.  They will definitely be a part of our road trip equipment from now on.<br /><br />The fit seems to be better for the kids than for me.  Perhaps my head is too big, but they felt a bit tight for me.  Kids report they fit great.  I'm not sure that an audiophile would really appreciate these, but for the price, my kids love them.",5,882
No Whistles and Bells but It Works,"Well this is a TV mount that runs under $20, you can't expect any whistles and bells.  We were looking to mount a 39 inch TV in the kids room and it worked fine.  It was not great or amazing, but it adequately holds the TV to the wall.  We needed to go a little off center because of stud placement.<br /><br />This ended up being an &#34;all we really need&#34; solution, but I'm happy with how securely it holds up the TV and it does what we wanted.",4,451
"Solid, Functional Headphone Splitter","This seems like a solidly designed adapter.  I have to admit that I can't think of a situation that I will be needing five concurrent headphones, but it has worked wonders for two kids in the back seat trying to listen to music or movies at the same time.  I do actually like that it might be a little overdesigned, because all more sleek splitters are missing. I feel like this one will be easier to find in the bin of electronics (assuming it keeps getting returned there after long car trips.)<br /><br />We tested it on a Thanksgiving drives and it worked perfectly. Kids were content, I was content.  It did its job completely.",5,632
Amazing Portable and Flexible Power,"I am appreciating this more and more each month that I have it! I just came back from a two week vacation to a flat tire and was delighted how easy it was to simply grab this and reinflate it.  It has gone to the drive in theater to power the boombox that we used for sound, It has charged usb electronics on road trips, it has powered a saws all to clean up a downed tree... It has been there for all kinds of solutions, except for the reason I wanted it - it has yet to jump a car.  But this is Minnesota and as they say on Game of Thrones, Winter is coming.<br /><br />I love the design of this box, the only thing I can knock it for is that it is heavy, but that appears to be a trade off for capacity which is well worth it.  The only thing I wish it had that it doesn't is stereo speakers and a FM/AM tuner.  Otherwise it is all love for this Power Station.",5,863
Beautiful Laptop,"Wow, before saying anything, the screen on this laptop is stunning; bright and sharp.  It is not the first nice thing I noticed about the laptop.  Out of the box, it has a solid, perhaps a little heavy feel.  It has a matte crosshatched finish which is not my favorite, but looks classy enough.  The basic shape is elegant, it is thin and sleek and satisfying in the hand.<br /><br />Keyboard/Touchpad<br /><br />The keys are backlit, crisp to the touch and typing is easy.  It has a slightly compressed full keyboard with a squeezed 10 key which is nice, and at least for my uses fine that the keys are 2/3rds their normal width. Keypad is sensitive but clicking works better than most and I have no problems with fine control of the cursor.  The fingerprint reader is on the touchpad but does not affect usage and is a nice touch in general.  All in all, inputs through keyboard, touchpad and touchscreen are perfect.<br /><br />Screen<br /><br />Like I said, once this one on, the screen is what stuck out for me.  Wonderfully bright and crisp.  Touch screen controls seem to work fine.  Screen size is great.  We watched a number of HD nature films on it and felt comfortable.  The screen hinges completely around to create a tablet which I far prefer to swivel options.  I also liked the way that it tents for movie and presentation viewing.  Could not be happier with the screen.<br /><br />CPU/Performance<br /><br />This is a nice quick machine.  SSD, i7 and plenty of RAM out of the box had it booting quick and I see no problems with performance.  I would be amazed and happy to see it approach the 9 hours of battery life that it promises, we'll see about that over time.  My son wanted to put it through the paces with STEAM games but I'm passing - It's mine, but it should handle most reasonable games although it is obviously not optimized for hard core gaming.<br /><br />Summary<br /><br />This is a well built, solid laptop.  It has the makings for a great Netflix platform with it's screen and flexibility of viewing positions of the screen as well as crisp, bright HD.  This is hands down the best laptop I have owned as a complete package.<br /><br />Pros<br />+ Super Bright, HD screen<br />+ Nice crisp feel to the keyboard<br />+ Well powered for standard uses, SSD, i7 and RAM gives it enough muscle<br /><br />Cons<br />-The design of the power cord and jack are disappointing, It looks spindly and its design encourages lateral pressures. I really wish more thought went into that.<br />-The pattern on the outside is not my favorite, but looks nice enough",5,2582
Holy Crap Yes! Supremely Portable,"I read somewhere either in a review or description that this laptop is supremely portable. That is the most articulate description I can imagine.  I have worked with MacBook Airs since their release and have been waiting for something like this in PC. It is feather light and beguiling larger than it feels in the hand or bag. It seems like a modest 14 inches but definitely enough screen real estate to work with.<br /><br />I have installed office 2016 and it works as well as any machine I have it on.  And perhaps even more telling, my son has loaded steam and has put it through the paces as a gaming machine. Which graphically, it is challenged a little, but he is comparing it to very high end graphics cards.  But still he was pretty impressed with what it could handle.<br /><br />Touch screen works great, a first for me. Keyboard has a great feel and so far so good, it has worked flawless for me.  I have a new travel buddy, and I have no envy for anyone with a surface.  This feels more like a work computer than our surfaces have.  I'm sold!",5,1055
Great Basic Cable,"This cable does everything I want it to do.  It charges my devices fine, it replaces the cable my son apparently permanently borrowed form me and I like the green color.  The price on sale is fine although list may be a little high.  Only giving it four stars because five means that I love it.  I can't say that I love it, but I definitely like it for doing what I need it to do.",4,380
The Adapter Works Fine at a Decent price,"I don't know that five stars is quite right for just an adapter, but it does exactly what I wanted to do, hook up my HP to an older VGA projector with no problems.  I am happy to say that it worked straight out of the packaging without problem.  The price is decent and it has fully filled my need.",5,298
"Cute, Small, Solid and Surprising Sound Clarity","These have a solid feel of quality with a surprisingly clear sound.  I'm truly surprised with the quality for the price. They are obviously low frills, low end walky talkies, but exude quality for the price.<br /><br />Our hoped use for these is to be able to send one with kids when they are playing in the nearby woods or when exploring while camping. We have tested them in the neighborhood and the range is good enough to recall the kids for supper within our subdivision or from the woods in the nearby nature area.  The kids have had a blast testing them and carrying one with them while on the",5,600
very nice cable ties at a very nice price,These are good quality heavier use cable ties.  I have gotten a couple of samples from South Main Hardware and these are very functional at a decent price.  I have been looking for some higher strength ties to put together some quick crawfish traps and these have worked perfectly for joining cylinders of hardware cloth.  The grip down tight and hard and I expect them to last for many seasons.<br /><br />All in all these are very nice cable ties at a very nice price.,5,470
"Great Sound, Simple, Elegant Design and Functions","This is an elegantly simple Bluetooth speaker. The contols are very basic on the device itself, a large central volume dial, Power, Group (for grouping multiple speakers to the same source, Bluetooth and next (for very basic functionality of skipping songs in Spotify etc.) Even the compact square shape is elegant simplicity.  This is not a whistles and bells device. It's one differentiating function is the ability to group multiple Izzy's to the same source which for me isn't something I'm really looking for.<br /><br />What I am looking for is a good solid sound in a Bluetooth speaker, that can fill a living room when I bring a projector home to play movies for the kids, and a speaker that can fill the room with music while I work.  This speaker does both quite well.  The sound is great, and there is not much distortion through the range, although I found it better matched to softer music over harder rock.  I found the fidelity was much truer in the quieter ranges.<br /><br />Bluetooth pairing was as easy and quick as any device I have ever owned.  The simple functionality makes it simple to use right out of the box, and I am very happy with the sound.  I love this little speaker.",5,1200
